Iteración,Costo
1,71.47254832111558
2,71.35432108469122
3,71.24275809967159
4,71.14655451788526
5,71.07313540071716
6,71.00353788244833
7,70.93639070440906
8,70.8700960218072
9,70.81152990448238
10,70.75556809026794
11,70.69963844801528
12,70.6442561709721
13,70.59014861769643
14,70.5376456695882
15,70.490277733285
16,70.44406475207994
17,70.39841789742864
18,70.35375617505558
19,70.31403846434557
20,70.27480043949575
21,70.23726499208718
22,70.20102605891843
23,70.1657635100742
24,70.1305870920294
25,70.0954164495608
26,70.06133360192766
27,70.02746176779212
28,69.99372385501461
29,69.96011525420568
30,69.92739802095434
31,69.89595392449107
32,69.86583745695077
33,69.8366170909512
34,69.70703434985224
35,69.67826000334775
36,69.64880554494492
37,69.57626217500912
38,69.54721889954808
39,69.51896679235458
40,69.49081186991407
41,69.46297358698128
42,69.4364346304212
43,69.40540869749253
44,69.36109755961175
45,69.33539692015393
46,69.30986526976375
47,69.24886015785957
48,69.22349515877865
49,69.19813692222756
50,69.17311045489919
51,69.11693945333997
52,69.09211150515902
53,69.06735048618107
54,69.04258622174343
55,69.01807913406844
56,68.99360165133336
57,68.969318478623
58,68.94519516376393
59,68.92128905346073
60,68.8021651403986
61,68.75554066362295
62,68.73265971245237
63,68.71002247447987
64,68.68743884554479
65,68.66542957610484
66,68.6437237937907
67,68.62219900887749
68,68.592732435899
69,68.5712229348313
70,68.54975726564183
71,68.52838914931351
72,68.50716638653739
73,68.48600979768239
74,68.46576336564623
75,68.44587191730238
76,68.42600103545963
77,68.40626508437781
78,68.3869056276054
79,68.3678998338761
80,68.3490466411527
81,68.32954142991517
82,68.31071732593908
83,68.2921146756677
84,68.27358137295751
85,68.25527788770883
86,68.23773616330409
87,68.22020708837086
88,68.2029580333497
89,68.18577308716819
90,68.16293824408389
91,68.146036671688
92,68.12936626222083
93,68.10627055101978
94,68.08999431515672
95,68.07393966787677
96,68.0584090823711
97,68.03144155250034
98,68.0076088642949
99,67.99229520037025
100,67.97706999542238
