Iteración,Costo
1,40.853573657892184
2,40.656429199073784
3,40.532801079673725
4,40.42542575124534
5,40.30367962906102
6,40.18838446594329
7,40.09280908479962
8,40.00611466335253
9,39.91942965742616
10,39.840738776223816
11,39.769022718243534
12,39.70888657943782
13,39.65160500028299
14,39.597005927973726
15,39.54848925156623
16,39.436154836697035
17,39.393006054425214
18,39.3504709436174
19,39.31056259649459
20,39.272053034549536
21,39.23369988796586
22,39.195425604985225
23,39.08248435100874
24,39.04665237060648
25,39.01152364810219
26,38.977396802909276
27,38.94394146427416
28,38.911196686899885
29,38.87827008356726
30,38.84576158374391
31,38.81430925498341
32,38.7830145977468
33,38.75185352557759
34,38.72105446971413
35,38.69318820932526
36,38.66739063704246
37,38.64202316983878
38,38.616894099556625
39,38.590712734722224
40,38.56466283038055
41,38.5356255339573
42,38.4413312068375
43,38.40951379014394
44,38.38504818923265
45,38.360815251550754
46,38.33767975140292
47,38.3150139968589
48,38.28731014005932
49,38.254955170443154
50,38.23305176993148
51,38.211213876905184
52,38.179507537867956
53,38.054049092058264
54,38.03324593877847
55,38.0126400305388
56,37.99392524990849
57,37.975580514124815
58,37.95746085709464
59,37.939836768373546
60,37.922354201954114
61,37.89454228453374
62,37.87785098749774
63,37.86117729535077
64,37.84467880168948
65,37.82832715546845
66,37.812308290873865
67,37.79829000374494
68,37.78687282449266
69,37.765528685645286
70,37.753682752810484
71,37.74249025139913
72,37.72335425866373
73,37.712176253188495
74,37.70144321306952
75,37.67885403016292
76,37.66840736879452
77,37.63215282015546
78,37.62173418101358
79,37.61288634865303
80,37.60428659354285
81,37.58407175801079
82,37.575254368269285
83,37.56570400107123
84,37.5570555431153
85,37.54873808656137
86,37.54043007355333
87,37.510451594362486
88,37.50224536794086
89,37.469302956162686
90,37.45617009522176
91,37.444159771038706
92,37.4333184411356
93,37.403169203754864
94,37.39161209811632
95,37.37913412995231
96,37.35794877316232
97,37.347816115473464
98,37.3391883705408
99,37.328432827981416
100,37.27800746799117
